id,quality,description,total_attr_value,total_sum,monster_id,mintmark_class
40001,2,睿智,0 0 32 0 0 70,102,,1
40002,2,狂战,32 0 0 0 0 70,102,,1
40003,2,坚毅,0 0 0 32 0 70,102,,1
40004,2,强韧,0 32 0 0 0 70,102,,1
40005,2,惊雷,0 0 32 0 15 0,47,,1
40006,2,疾刃,32 0 0 0 15 0,47,,1
40007,3,辉耀之印,0 0 23 0 15 40,78,,2
40008,3,绝影之印,23 0 0 0 15 40,78,,2
40009,3,恩赐之印,0 0 23 0 10 60,93,,2
40010,3,狂傲之印,23 0 0 0 10 60,93,,2
40011,3,破军之印,23 18 0 0 0 60,101,,2
40012,3,奥术之印,0 0 27 18 0 50,95,,2
40013,4,星·白羊,14 27 32 0 0 50,123,,3
40014,4,星·金牛,14 0 32 0 10 50,106,,3
40015,4,星·双子,32 27 14 0 0 50,123,,3
40016,4,星·巨蟹,32 0 14 0 10 50,106,,3
40017,4,星·狮子,14 27 23 0 0 60,124,,3
40018,4,星·室女,14 0 23 0 13 60,110,,3
40019,4,星·天秤,32 18 14 0 0 60,124,,3
40020,4,星·天蝎,32 0 14 0 13 60,119,,3
40021,4,星·射手,14 27 18 0 0 70,129,,3
40022,4,星·摩羯,14 0 18 0 15 70,117,,3
40023,4,星·水瓶,18 27 14 0 0 70,129,,3
40024,4,星·双鱼,18 0 14 0 15 70,117,,3
40025,5,神耀·齐天,14 0 27 23 10 70,144,,4
40026,5,神耀·惊天,14 0 23 18 18 60,133,,4
40027,5,神耀·浑天,0 14 18 32 15 50,129,,4
40028,5,神耀·斗天,0 14 32 27 13 40,126,,4
40029,5,神耀·灭天,27 23 14 0 10 70,144,,4
40030,5,神耀·战天,23 18 14 0 18 60,133,,4
40031,5,神耀·擎天,18 32 0 14 15 50,129,,4
40032,5,神耀·破天,32 27 0 14 13 40,126,,4
40033,5,凯迪专属全能刻印,23 23 23 23 0 50,142,2148,
40034,3,坎贝尔专属全能刻印,25 0 0 0 17 55,97,1804,
40035,3,金翅托鲁克专属全能刻印,25 0 0 0 18 55,98,1447,
40036,3,勇气号专属全能刻印,0 20 0 20 0 70,110,1657,
40037,3,英普瑞斯专属全能刻印,0 0 20 28 0 60,108,1756,
40038,3,布雷兹专属全能刻印,0 22 0 22 0 60,104,1709,
40039,5,龙尊专属全能刻印,32 22 0 22 15 70,161,2167 2800,
40040,4,吕布专属全能刻印,32 16 0 18 0 65,131,2169,
40041,4,阿波罗专属全能刻印,0 22 0 22 20 60,124,2173,
40042,5,凯萨专属全能刻印,25 25 25 25 0 60,160,2149,
40043,3,邪龙尊专属全能刻印,27 0 0 0 20 60,107,2179,
40044,3,纳达尔专属全能刻印,25 0 0 0 16 50,91,2128,
40045,4,狄安娜专属全能刻印,25 20 0 0 18 70,133,2181,
40046,3,布鲁卡卡专属全能刻印,0 0 30 20 0 55,105,1297,
40047,3,萨帕罗亚专属全能刻印,0 0 30 20 0 55,105,1266,
40048,3,巨石灵王专属全能刻印,30 20 0 0 0 55,105,1121 2429,
40049,3,安吉拉专属全能刻印,0 0 30 20 0 55,105,819,
40050,3,鲁伊斯专属全能刻印,30 0 0 0 18 55,103,1767,
40051,3,斯蒂亚专属全能刻印,0 0 30 0 18 55,103,1588,
40052,4,尤格萨隆专属全能刻印A,28 0 0 14 34 30,106,2192,
40053,4,尤格萨隆专属全能刻印B,0 22 0 26 12 80,140,2192,
40054,3,莫迪西斯专属全能刻印,0 0 26 0 16 63,105,2205,
40055,3,黄金圣龙专属全能刻印,0 25 0 25 0 60,110,2199,
40056,5,蒙娜丽莎专属全能刻印,0 18 25 18 32 65,158,2189,
40057,3,比达尔专属全能刻印,23 14 0 0 0 60,97,2196,
40058,4,苏亚雷斯专属全能刻印A,0 18 34 0 19 65,136,2207,
40059,4,苏亚雷斯专属全能刻印B,0 25 25 25 0 70,145,2207,
40060,3,玛可专属全能刻印,18 0 0 14 0 50,82,1325,
40061,5,利爪鲁斯王专属全能刻印,24 20 0 20 28 65,157,2220,
40062,3,哈丘斯专属全能刻印,0 18 20 0 0 45,83,2215,
40063,4,烈焰号专属全能刻印A,0 0 30 20 19 65,134,2219,
40064,4,烈焰号专属全能刻印B,0 12 0 25 19 75,131,2219,
40065,3,麦康纳专属全能刻印,23 0 0 0 15 55,93,2223,
40066,5,炽焰金刚专属全能刻印,28 0 28 24 18 78,176,2221,
40067,3,金翅托鲁斯专属全能刻印,22 0 0 0 18 55,95,2019,
40068,3,朵格萨恩专属全能刻印,24 0 0 22 0 65,111,2232,
40069,4,炽天使专属全能刻印A,0 20 30 0 20 55,125,2230,
40070,4,炽天使专属全能刻印B,0 26 0 26 18 65,135,2230,
40071,3,博卡斯特专属全能刻印,0 0 27 18 0 50,95,2226,
40072,3,岩灵狮专属全能刻印,23 0 0 0 10 60,93,2203,
40073,5,诺伊尔专属全能刻印,24 18 0 20 15 65,142,1837,
40074,5,伊兰迪专属全能刻印,24 24 0 22 22 75,167,1850,
40075,5,艾辛格专属全能刻印,27 24 0 23 20 70,164,2001,
40076,5,格莱奥专属全能刻印,24 20 0 20 18 65,147,1851,
40077,4,奥拉夫专属全能刻印A,24 20 0 0 23 70,137,2251 2921,
40078,4,奥拉夫专属全能刻印B,0 26 0 26 18 75,145,2251 2921,
40079,3,萨克森专属全能刻印,0 0 29 0 18 65,112,2247,
40080,3,安丽娜专属全能刻印,0 18 0 22 0 55,95,2241,
40081,3,索卡特专属全能刻印,23 0 0 0 15 55,93,2243,
40082,3,玛斯卡专属全能刻印,23 0 0 0 10 60,93,1564,
40083,4,创世兵魂专属全能刻印,24 18 0 0 15 65,122,2257,
40084,3,阿斯狄专属全能刻印,23 0 0 0 10 60,93,2177,
40085,3,艾普欧专属全能刻印,18 0 0 0 20 65,103,2239,
40086,4,拉奥斯专属全能刻印,18 18 0 18 0 60,114,2235,
40087,4,阿苏亚专属全能刻印,24 0 0 16 15 55,110,2237,
40088,4,马超专属全能刻印A,26 22 0 0 17 65,130,2261,
40089,4,马超专属全能刻印B,20 24 0 23 0 75,142,2261,
40090,3,卡维特专属全能刻印,24 18 0 0 0 70,112,2259,
40091,3,邪化玛斯卡专属全能刻印,0 0 23 0 15 40,78,2254,
40092,3,迪符里恩专属全能刻印,0 0 28 0 17 55,100,2269,
40093,3,博拉纳专属全能刻印,0 22 0 22 0 80,124,1835,
40094,3,光之灵专属全能刻印,22 18 0 0 0 55,95,1665,
40095,3,暗之灵专属全能刻印,0 0 22 18 0 55,95,1819,
40096,3,纳卡洛哈专属全能刻印,26 0 0 0 15 75,116,2271,
40097,4,奈法里安专属全能刻印A,0 0 32 18 23 55,128,2275,
40098,4,奈法里安专属全能刻印B,0 22 18 26 0 85,151,2275,
40099,4,博比特专属全能刻印,0 20 0 20 17 75,132,2266,
40100,4,雷诺西专属全能刻印,24 0 0 16 17 60,117,2268,
40101,3,永夜冰狐王专属全能刻印,0 12 24 0 0 55,91,2282,
40102,3,德维勒专属全能刻印,0 18 0 18 0 55,91,2287,
40103,3,邪化唐尼泰罗专属全能刻印,14 0 0 0 10 65,89,2255,
40104,3,唐尼泰罗专属全能刻印,14 0 0 0 10 65,89,2140,
40105,4,纳斯里专属全能刻印,20 14 0 0 15 55,104,2279,
40106,4,加西亚专属全能刻印,0 15 22 15 0 60,112,2281,
40107,4,罗迪克斯专属全能刻印A,0 21 0 20 14 75,130,2289,
40108,4,罗迪克斯专属全能刻印B,31 10 0 0 18 65,124,2289,
40109,3,霍迪尔专属全能刻印,0 18 23 0 0 55,96,2296,
40110,4,恶灵兽专属全能刻印,28 0 28 0 28 65,149,1534,
40111,3,邪化麦克朗琪罗专属全能刻印,18 0 0 0 14 55,87,2297,
40112,3,麦克朗琪罗专属全能刻印,0 16 0 16 0 65,97,2160,
40113,4,迪博威专属全能刻印A,22 18 0 0 24 85,149,2291,
40114,4,迪博威专属全能刻印B,20 24 0 24 0 70,138,2291,
40115,4,法里埃德专属全能刻印,18 14 0 14 0 55,101,2299,
40116,4,提普斯专属全能刻印,22 14 0 0 14 60,110,2301,
40117,3,奈诺里特专属全能刻印,0 0 27 18 0 50,95,2304,
40118,3,机械队长凯普特专属全能刻印,24 0 0 0 16 65,105,2315,
40119,4,斯科皮恩专属全能刻印,22 17 0 17 0 60,116,2309,
40120,5,大地之神卡修斯专属全能刻印,18 24 0 24 16 70,152,2323,
40121,5,神王宙斯专属全能刻印,28 21 0 21 18 65,153,2313,
40122,3,洛奇亚专属全能刻印,0 0 22 0 15 55,92,2321,
40123,3,地狱兽专属全能刻印,28 18 0 0 0 55,101,2325,
40124,5,克罗诺斯专属全能刻印,0 19 30 19 20 60,148,2322,
40125,3,克莱恩专属全能刻印,25 20 0 0 0 85,130,2319,
40126,5,特级全能刻印,12 0 23 20 8 60,123,,5
40127,5,特级全能刻印,12 0 21 15 14 55,117,,5
40128,5,特级全能刻印,0 12 16 26 13 50,117,,5
40129,5,特级全能刻印,0 12 28 25 10 35,110,,5
40130,5,特级全能刻印,24 21 12 0 8 65,130,,5
40131,5,特级全能刻印,18 16 10 0 15 55,114,,5
40132,5,特级全能刻印,16 27 0 12 12 45,112,,5
40133,3,炽焰之刃专属全能刻印,0 0 25 0 18 50,93,881,
40134,3,时空之零专属全能刻印,0 0 25 0 18 50,93,1279,
40135,3,裂冰之魂专属全能刻印,0 0 25 0 18 50,93,1317,
40136,3,寒冰之魂专属全能刻印,0 0 25 0 18 50,93,1316,
40137,3,吉安娜专属全能刻印,0 18 24 0 0 65,107,1868,
40138,3,史威克专属全能刻印,25 0 0 10 0 55,90,1779,
40139,3,昆仑专属全能刻印,24 0 0 0 15 75,114,1622,
40140,3,雷利专属全能刻印,0 19 0 19 0 60,98,1999,
40141,3,暗黑托鲁克专属全能刻印,23 0 0 0 18 60,101,2049,
40142,4,神力号专属全能刻印A,20 15 0 28 0 70,133,2331,
40143,4,神力号专属全能刻印B,25 0 0 22 17 60,124,2331,
40144,5,闪光波斯蒂加专属全能刻印,22 20 0 20 18 55,135,2197,
40145,5,暗黑波斯蒂加专属全能刻印,22 20 0 20 18 55,135,2336,
40146,3,卡米欧专属全能刻印,0 18 0 18 0 55,91,2329,
40147,4,战皇专属全能刻印,20 10 0 15 0 60,105,2338,
40148,3,奥罗纳尔专属全能刻印,0 0 20 0 14 55,89,2346,
40149,4,斯巴达专属全能刻印A,20 25 0 20 0 60,125,2342,
40150,4,斯巴达专属全能刻印B,25 15 0 0 18 50,108,2342,
40151,3,菲尔特专属全能刻印,0 0 25 15 0 55,95,2340,
40152,4,疾风王者专属全能刻印,20 20 0 0 18 55,113,2358,
40153,4,光之虎王专属全能刻印,20 15 0 15 0 50,100,2355,
40154,4,影之虎王专属全能刻印,0 15 20 15 0 50,100,2357,
40155,3,科塔娜专属全能刻印,0 15 0 15 0 60,90,2353,
40156,3,贝尼米专属全能刻印,0 0 20 0 12 55,87,2364,
40157,4,斗皇专属全能刻印,25 13 0 13 0 50,101,2349,
40158,5,波塞冬专属全能刻印,27 16 0 19 20 65,147,2354,
40159,4,影皇专属全能刻印,0 14 16 12 0 60,102,2366,
40160,5,阿萨斯专属全能刻印,0 14 20 16 10 60,120,2368,
40161,3,尼古拉斯专属全能刻印,14 0 0 0 10 60,84,2372,
40162,4,奥斯卡专属全能刻印,30 17 0 17 0 55,119,2006 2377,
