刻印1,刻印2,刻印3,攻击,防御,特攻,特防,速度,体力,总和
沧吟星海·瀚,灵籁·逐夏,K13-05,99,133,0,133,73,342,608
沧吟星海·瀚,灵籁·逐夏,K13-06,57,133,42,133,73,342,608
沧吟星海·瀚,灵籁·逐夏,十年·新生,93,132,0,132,71,342,606
沧吟星海·瀚,灵籁·逐夏,十年·同舟,57,132,36,132,71,342,606
沧吟星海·瀚,灵籁·逐夏,V10-05,97,132,0,132,72,342,606
沧吟星海·瀚,灵籁·逐夏,V10-06,57,132,40,132,72,342,606
沧吟星海·瀚,灵籁·逐夏,沧吟星海·辉,105,130,0,130,73,342,602
沧吟星海·瀚,灵籁·逐夏,沧吟星海·痕,57,130,48,130,73,342,602
沧吟星海·瀚,灵籁·逐夏,苍魂之魄,57,129,35,129,68,342,600
沧吟星海·瀚,灵籁·逐夏,群星·知心,100,127,0,127,80,346,600
沧吟星海·瀚,灵籁·逐夏,群星·共鸣,57,127,43,127,80,346,600
沧吟星海·瀚,灵籁·伴夏,K13-05,67,133,32,133,73,342,608
沧吟星海·瀚,灵籁·伴夏,K13-06,25,133,74,133,73,342,608
沧吟星海·瀚,灵籁·伴夏,十年·新生,61,132,32,132,71,342,606
沧吟星海·瀚,灵籁·伴夏,十年·同舟,25,132,68,132,71,342,606
沧吟星海·瀚,灵籁·伴夏,V10-05,65,132,32,132,72,342,606
沧吟星海·瀚,灵籁·伴夏,V10-06,25,132,72,132,72,342,606
沧吟星海·瀚,灵籁·伴夏,沧吟星海·辉,73,130,32,130,73,342,602
沧吟星海·瀚,灵籁·伴夏,沧吟星海·痕,25,130,80,130,73,342,602
沧吟星海·瀚,灵籁·伴夏,苍魂之魄,25,129,67,129,68,342,600
沧吟星海·瀚,灵籁·伴夏,群星·知心,68,127,32,127,80,346,600
沧吟星海·瀚,灵籁·伴夏,群星·共鸣,25,127,75,127,80,346,600
沧吟星海·瀚,K13-05,四九灵光,96,122,0,122,66,349,593
沧吟星海·瀚,K13-06,四九灵光,54,122,42,122,66,349,593
沧吟星海·澜,灵籁·逐夏,K13-05,74,133,25,133,73,342,608
沧吟星海·澜,灵籁·逐夏,K13-06,32,133,67,133,73,342,608
沧吟星海·澜,灵籁·逐夏,十年·新生,68,132,25,132,71,342,606
沧吟星海·澜,灵籁·逐夏,十年·同舟,32,132,61,132,71,342,606
沧吟星海·澜,灵籁·逐夏,V10-05,72,132,25,132,72,342,606
沧吟星海·澜,灵籁·逐夏,V10-06,32,132,65,132,72,342,606
沧吟星海·澜,灵籁·逐夏,沧吟星海·辉,80,130,25,130,73,342,602
沧吟星海·澜,灵籁·逐夏,沧吟星海·痕,32,130,73,130,73,342,602
沧吟星海·澜,灵籁·逐夏,苍魂之魄,32,129,60,129,68,342,600
沧吟星海·澜,灵籁·逐夏,群星·知心,75,127,25,127,80,346,600
沧吟星海·澜,灵籁·逐夏,群星·共鸣,32,127,68,127,80,346,600
沧吟星海·澜,灵籁·伴夏,K13-05,42,133,57,133,73,342,608
沧吟星海·澜,灵籁·伴夏,K13-06,0,133,99,133,73,342,608
沧吟星海·澜,灵籁·伴夏,十年·新生,36,132,57,132,71,342,606
沧吟星海·澜,灵籁·伴夏,十年·同舟,0,132,93,132,71,342,606
沧吟星海·澜,灵籁·伴夏,V10-05,40,132,57,132,72,342,606
沧吟星海·澜,灵籁·伴夏,V10-06,0,132,97,132,72,342,606
沧吟星海·澜,灵籁·伴夏,沧吟星海·辉,48,130,57,130,73,342,602
沧吟星海·澜,灵籁·伴夏,沧吟星海·痕,0,130,105,130,73,342,602
沧吟星海·澜,灵籁·伴夏,苍魂之魄,0,129,92,129,68,342,600
沧吟星海·澜,灵籁·伴夏,群星·知心,43,127,57,127,80,346,600
沧吟星海·澜,灵籁·伴夏,群星·共鸣,0,127,100,127,80,346,600
沧吟星海·澜,K13-05,四九灵光,71,122,25,122,66,349,593
沧吟星海·澜,K13-06,四九灵光,29,122,67,122,66,349,593
群星·记忆,K13-05,K13-05,109,126,0,126,74,350,602
群星·记忆,K13-05,K13-06,67,126,42,126,74,350,602
群星·记忆,K13-05,十年·新生,103,125,0,125,72,350,600
群星·记忆,K13-05,十年·同舟,67,125,36,125,72,350,600
群星·记忆,K13-05,V10-05,107,125,0,125,73,350,600
群星·记忆,K13-05,V10-06,67,125,40,125,73,350,600
群星·记忆,K13-05,沧吟星海·辉,115,123,0,123,74,350,596
群星·记忆,K13-05,沧吟星海·痕,67,123,48,123,74,350,596
群星·记忆,K13-05,苍魂之魄,67,122,35,122,69,350,594
群星·记忆,K13-05,梅之绝艳,110,123,0,123,73,346,592
群星·记忆,K13-05,梅之傲寒,67,123,43,123,73,346,592
群星·记忆,K13-05,深渊瞥视,67,123,45,123,77,345,591
群星·记忆,K13-05,恶念缚魂,112,123,0,123,77,345,591
群星·记忆,K13-06,K13-06,25,126,84,126,74,350,602
群星·记忆,K13-06,十年·新生,61,125,42,125,72,350,600
群星·记忆,K13-06,十年·同舟,25,125,78,125,72,350,600
群星·记忆,K13-06,V10-05,65,125,42,125,73,350,600
群星·记忆,K13-06,V10-06,25,125,82,125,73,350,600
群星·记忆,K13-06,沧吟星海·辉,73,123,42,123,74,350,596
群星·记忆,K13-06,沧吟星海·痕,25,123,90,123,74,350,596
群星·记忆,K13-06,苍魂之魄,25,122,77,122,69,350,594
群星·记忆,K13-06,梅之绝艳,68,123,42,123,73,346,592
群星·记忆,K13-06,梅之傲寒,25,123,85,123,73,346,592
群星·记忆,K13-06,深渊瞥视,25,123,87,123,77,345,591
群星·记忆,K13-06,恶念缚魂,70,123,42,123,77,345,591
群星·记忆,十年·新生,十年·新生,97,124,0,124,70,350,598
群星·记忆,十年·新生,十年·同舟,61,124,36,124,70,350,598
群星·记忆,十年·新生,V10-05,101,124,0,124,71,350,598
群星·记忆,十年·新生,V10-06,61,124,40,124,71,350,598
群星·记忆,十年·新生,沧吟星海·辉,109,122,0,122,72,350,594
群星·记忆,十年·新生,沧吟星海·痕,61,122,48,122,72,350,594
群星·记忆,十年·新生,梅之绝艳,104,122,0,122,71,346,590
群星·记忆,十年·新生,梅之傲寒,61,122,43,122,71,346,590
群星·记忆,十年·新生,深渊瞥视,61,122,45,122,75,345,589
群星·记忆,十年·新生,恶念缚魂,106,122,0,122,75,345,589
群星·记忆,十年·同舟,十年·同舟,25,124,72,124,70,350,598
群星·记忆,十年·同舟,V10-05,65,124,36,124,71,350,598
群星·记忆,十年·同舟,V10-06,25,124,76,124,71,350,598
